Acari,2400109,acariense,FERNANDO ANTONIO BEZERRA,608.466,11106,18.13,97.6,0.679,-,26943.45359,23825.10614,11739.54,
A&ccedil;u,2400208,a&ccedil;uense,GUSTAVO MONTENEGRO SOARES,1303.442,58743,40.84,97.6,0.661,11.76,107791.0353,98919.77871,21401.61,
Afonso Bezerra,2400307,afonso-bezerrense,JOAO BATISTA DA CUNHA NETO,576.179,11024,18.82,98.8,0.585,-,33903.89094,34590.47519,9240.78,
Agua Nova,2400406,&aacute;gua-novense,FRANCISCO RONALDO DE SOUZA,50.684,3293,58.80,99.2,0.616,27.78,14214.25207,14059.26223,8585.50,
Alexandria,2400505,alexandrinense,JEANE CARLINA SARAIVA E FERREIRA DE SOUZA,381.205,13529,35.43,97.5,0.606,-,44435.81559,42149.27432,10712.92,
Almino Afonso,2400604,almino-afonsense,J&Eacute;SSICA LOURINE DE ASSIS AMORIM,128.038,4685,38.04,95.5,0.624,-,17341.64717,16151.62121,8492.91,
Alto do Rodrigues,2400703,alto-rodriguense,NIXON DA SILVA BARACHO,191.334,14923,64.31,97.3,0.672,5.52,47612.31987,47626.29166,33606.28,
Angicos,2400802,angicano,MIGUEL PINHEIRO NETO,741.582,11695,15.57,96.5,0.624,6.99,25571.17511,20119.03344,12469.25,
Ant&ocirc;nio Martins,2400901,ant&ocirc;nio-martinense,JORGE VINICIUS DE OLIVEIRA FERNANDES,244.897,7162,28.24,98,0.578,45.45,17039.97627,15756.95677,8172.59,
Apodi,2401008,apodiense,ALAN JEFFERSON DA SILVEIRA PINTO,1602.477,35904,21.69,97.2,0.639,2.27,65151.72813,61116.86361,14347.04,
Areia Branca,2401107,areia-branquense,IRANEIDE XAVIER CORTEZ RODRIGUES REBOU&Ccedil;AS,342.749,28156,70.79,99.3,0.682,6.27,81109.81831,70846.73362,26529.59,
Ar&ecirc;s,2401206,aresense,BERGSON IDUINO DE OLIVEIRA,115.407,14526,111.89,97.8,0.606,5.81,37742.71317,36142.88627,21644.08,
Campo Grande,2401305,augusto-severense,FRANCISCO DAS CHAGAS EUFR&Aacute;SIO VIEIRA DE MELO,896.954,9686,10.36,98,0.621,24.39,20259.61797,19736.88353,10175.39,
Ba&iacute;a Formosa,2401404,ba&iacute;a-formosense,CAMILA VERAS DE MELO CAVALCANTI,247.484,9373,34.90,98.1,0.609,-,23656.20599,22372.78323,17568.30,
Bara&uacute;na,2401453,baraunense,MARIA DIVANIZE ALVES DE OLIVEIRA,825.681,29112,29.29,96.9,0.574,8.75,66394.0762,62253.31047,23128.49,
Barcelona,2401503,barcelonense,FABIANO LOPES PEREIRA,152.626,3989,25.88,98.6,0.566,18.87,14562.5584,13054.16776,10121.38,
Bento Fernandes,2401602,bento-fernandense,PAULO MARQUES DE OLIVEIRA JUNIOR,301.069,5552,16.98,98.5,0.582,14.93,15931.08603,15655.07707,9621.56,
Bod&oacute;,2401651,bodoense,MARCELO MARIO PORTO FILHO,253.519,2171,9.57,98.3,0.629,19.61,20227.48122,19458.52173,113239.45,
Bom Jesus,2401701,bom-jesuense,CL&Eacute;CIO DA C&Acirc;MARA AZEVEDO,122.035,10323,77.35,99.2,0.584,8.33,22864.98478,19975.34517,8720.69,
Brejinho,2401800,brejinense,JOAO BATISTA GOMES GONCALVES,61.559,12873,188.06,95.3,0.592,23.26,26744.62428,26778.07074,12872.69,
Cai&ccedil;ara do Norte,2401859,cai&ccedil;arense do norte,ALC&Eacute;LIO FERNANDES BARBOSA,225.633,6572,31.74,97.3,0.574,-,14708.5317,12637.13207,12312.80,
Cai&ccedil;ara do Rio do Vento,2401909,cai&ccedil;arense-do-rio-do-vento,CONCEICAO DE MARIA GOMES LISBOA ROCHA,261.194,3745,12.66,96.3,0.587,-,14468.13256,12323.07288,10319.86,
Caic&oacute;,2402006,caicoense,JUDAS TADEU ALVES DOS SANTOS,1228.584,68726,51.04,97.3,0.710,7.49,119336.02408,123033.41727,18847.18,
Campo Redondo,2402105,campo-redondense,RENAM LUIZ DE ALENCAR CARVALHO,213.727,11363,48.03,96.1,0.626,16.53,30370.00325,27146.4248,8347.95,
Canguaretama,2402204,canguaretamense,WELLINSON CARLOS DANTAS RIBEIRO,245.485,34814,125.98,97.6,0.579,13.86,65360.46185,62919.85789,16364.26,
Cara&uacute;bas,2402303,caraubense,ANT&Ocirc;NIO ALVES DA SILVA,1095.803,20588,17.88,98.7,0.638,-,42320.08649,38889.63622,18419.65,
Carna&uacute;ba dos Dantas,2402402,carnaubense,GILSON DANTAS DE OLIVEIRA,246.308,8297,30.24,97.8,0.659,9.52,18251.41969,16965.97096,10956.38,
Carnaubais,2402501,carnaubaense,MARINEIDE MARINHO PEREIRA DINIZ,517.737,10972,17.99,97.5,0.589,-,34351.69723,33459.4318,16235.56,
Cear&aacute;-Mirim,2402600,cear&aacute;-miriense,JULIO CESAR SOARES CAMARA,724.838,74268,94.07,95.5,0.616,10.73,145085.79192,130286.85992,12235.69,
Cerro Cor&aacute;,2402709,cerro-coraense,RAIMUNDO MARCELINO BORGES,393.573,11182,27.74,98.1,0.607,-,29188.43253,28278.88122,13019.01,
Coronel Ezequiel,2402808,coronel-ezequielense,CLAUDIO MARQUES DE MAC&Ecirc;DO,185.748,5501,29.10,99,0.587,15.38,15328.40158,13695.11514,8494.20,
Coronel Jo&atilde;o Pessoa,2402907,pessoense,MARIA DE F&Aacute;TIMA ALVES DA COSTA,117.139,4918,40.74,96,0.578,14.49,17782.34124,16392.43101,8826.47,
Cruzeta,2403004,cruzetense,JOAQUIM JOS&Eacute; DE MEDEIROS,295.830,7968,26.93,99.3,0.654,10.75,20643.19757,18859.94816,13873.42,
Currais Novos,2403103,currais-novense,ODON OLIVEIRA DE SOUZA J&Uacute;NIOR,864.349,45022,49.35,97.8,0.691,10.8,80448.96939,74094.08218,16947.02,
Doutor Severiano,2403202,severianense,FRANCISCO NERI DE OLIVEIRA,113.737,7068,59.96,97.6,0.621,-,21195.77213,18437.92035,9090.65,
Parnamirim,2403251,parnamirinense,ROSANO TAVEIRA DA CUNHA,124.006,272490,1639.70,97.9,0.766,12.42,444026.48992,385729.94785,21398.33,
